,,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level
,,Undergraduate,Undergraduate,Undergraduate,Undergraduate,Graduate,Special (Non-Degree),Grand Total
Plan School/College,Academic Plan,Freshman,Sophomore,Junior,Senior,Masters,College,Total
Grand Total,Total,"5,553","8,486","9,895","11,731",3,7,"35,675"
Agricultural and Life Sciences,Agricultural & Applied Economics BS,3,7,9,21,,,40
Agricultural and Life Sciences,Agricultural Business Management BS,8,7,19,16,,,50
Agricultural and Life Sciences,Agronomy BS,5,8,10,4,,,27
Agricultural and Life Sciences,Animal & Veterinary Biosciences BS,53,29,19,11,,,112
Agricultural and Life Sciences,Animal Sciences BS,1,32,27,26,,,86
Agricultural and Life Sciences,Biochemistry BS,39,57,99,118,,,313
Agricultural and Life Sciences,Biological Systems Engineering BS,,,9,52,,,61
Agricultural and Life Sciences,Biology BS,79,96,156,220,,,551
Agricultural and Life Sciences,Community & Environmental Sociology BS,6,6,13,18,,,43
Agricultural and Life Sciences,Dairy Science BS,6,7,9,15,,,37
Agricultural and Life Sciences,Entomology BS,5,1,8,7,,,21
Agricultural and Life Sciences,Environmental Sciences BS,24,25,36,53,,,138
Agricultural and Life Sciences,Food Science BS,10,20,15,21,,,66
Agricultural and Life Sciences,Forest Science BS,2,6,10,4,,,22
Agricultural and Life Sciences,Genetics & Genomics BS,33,68,118,146,,,365
Agricultural and Life Sciences,Global Health BS,35,64,114,137,,,350
Agricultural and Life Sciences,Horticulture BS,5,7,12,22,,,46
Agricultural and Life Sciences,Intended: Biological Systems Engineering,10,5,23,12,,,50
Agricultural and Life Sciences,Intended: Nutritional Sciences BSD,11,33,30,8,,,82
Agricultural and Life Sciences,Life Sciences Communication BS,4,18,41,85,,,148
Agricultural and Life Sciences,Microbiology BS,18,27,23,55,,,123
Agricultural and Life Sciences,No Major Code ALS,30,30,6,1,,,67
Agricultural and Life Sciences,Nutritional Sciences BS,9,13,22,35,,,79
Agricultural and Life Sciences,Nutritional Sciences BSDN,,,9,40,,,49
Agricultural and Life Sciences,Plant Pathology BS,1,3,4,4,,,12
Agricultural and Life Sciences,Soil Science BS,2,4,2,5,,,13
Agricultural and Life Sciences,Wildlife Ecology BS,11,27,30,42,,,110
Business,Bus: Accounting BBA,14,70,112,169,,,365
Business,Bus: Actuarial Science BBA,8,35,48,102,,,193
Business,"Bus: Finance, Investment & Banking BBA",85,335,487,550,,,"1,457"
Business,Bus: Information Systems BBA,3,31,58,88,,,180
Business,Bus: International Business BBA,,18,82,81,,,181
Business,Bus: Management & Human Resources BBA,19,48,124,149,,,340
Business,Bus: Marketing BBA,37,179,276,330,,,822
Business,Bus: Operations & Technology Management BBA,1,15,30,54,,,100
Business,Bus: Real Estate & Urban Land Economics BBA,23,164,248,239,,,674
Business,Bus: Risk Management & Insurance BBA,1,37,81,164,,,283
Business,Bus: Supply Chain Management BBA,9,42,65,97,,,213
Business,Business Administration-Human Resources BBA,,1,9,3,,,13
Business,Business Administration-Management BBA,1,3,24,19,,,47
Business,Business Administration-Marketing BBA,,4,9,8,,,21
Business,No Major Code BUS,267,123,10,,,,400
Education,Art BFA,,,,8,,,8
Education,Art BS,47,59,65,81,,,252
