,,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,
Plan School/College,Academic Plan,Hispanic,Black,Am. Indian,Asian,Hawaiian,White,2 or more races,Unknown,Intl. ,Grand Total,
Grand Total,Total,"2,966",892,86,"3,750",22,"21,531","1,703","1,156","3,569","35,675",
Agricultural and Life Sciences,Agricultural & Applied Economics BS,,,,1,,35,1,1,2,40,
Agricultural and Life Sciences,Agricultural Business Management BS,3,,,2,,41,1,,3,50,
Agricultural and Life Sciences,Agronomy BS,,,,1,,24,,,2,27,
Agricultural and Life Sciences,Animal & Veterinary Biosciences BS,21,2,1,8,,70,5,3,2,112,
Agricultural and Life Sciences,Animal Sciences BS,11,3,1,2,,63,5,,1,86,
Agricultural and Life Sciences,Biochemistry BS,24,5,3,51,,165,12,13,40,313
Agricultural and Life Sciences,Biological Systems Engineering BS,4,2,,3,,41,2,4,5,61,
Agricultural and Life Sciences,Biology BS,38,15,4,73,,356,26,13,26,551,
Agricultural and Life Sciences,Community & Environmental Sociology BS,2,2,,3,,35,1,,,43,
Agricultural and Life Sciences,Dairy Science BS,1,,,,,35,1,,,37,
Agricultural and Life Sciences,Entomology BS,1,,,5,,13,1,,1,21,
Agricultural and Life Sciences,Environmental Sciences BS,13,1,,5,,102,7,4,6,138,
Agricultural and Life Sciences,Food Science BS,6,,,7,,39,2,3,9,66,
Agricultural and Life Sciences,Forest Science BS,2,,1,,,18,1,,,22,
Agricultural and Life Sciences,Genetics & Genomics BS,19,3,2,25,,260,18,9,29,365,
Agricultural and Life Sciences,Global Health BS,23,14,1,44,1,236,16,8,7,350,
Agricultural and Life Sciences,Horticulture BS,5,,,3,,31,3,3,1,46,
Agricultural and Life Sciences,Intended: Biological Systems Engineering,6,2,,3,,33,1,2,3,50,
Agricultural and Life Sciences,Intended: Nutritional Sciences BSD,9,2,,9,,50,5,1,6,82,
Agricultural and Life Sciences,Life Sciences Communication BS,18,4,,9,2,106,4,2,3,148,
Agricultural and Life Sciences,Microbiology BS,13,4,,13,,77,4,2,10,123,
Agricultural and Life Sciences,No Major Code ALS,4,3,1,8,,39,2,2,8,67,
Agricultural and Life Sciences,Nutritional Sciences BS,7,,,9,,54,1,3,5,79,
Agricultural and Life Sciences,Nutritional Sciences BSDN,3,,,3,,40,1,1,1,49,
Agricultural and Life Sciences,Plant Pathology BS,2,,,1,,9,,,,12,
Agricultural and Life Sciences,Soil Science BS,1,,,,,11,,,1,13,
Agricultural and Life Sciences,Wildlife Ecology BS,15,2,,5,,78,4,1,5,110,
Business,Bus: Accounting BBA,23,7,1,40,1,248,21,9,15,365,
Business,Bus: Actuarial Science BBA,12,1,,17,,111,13,9,30,193,
Business,"Bus: Finance, Investment & Banking BBA",157,37,2,113,,932,81,69,66,"1,457",
Business,Bus: Information Systems BBA,13,10,,41,,85,14,7,10,180,
Business,Bus: International Business BBA,34,3,1,20,,103,11,6,3,181,
Business,Bus: Management & Human Resources BBA,33,12,2,33,,215,22,11,12,340,
Business,Bus: Marketing BBA,100,28,2,76,2,491,65,29,29,822,
Business,Bus: Operations & Technology Management BBA,6,2,,16,1,61,6,3,5,100,
