,,
Plan School/College,Academic Plan,Link
Grand Total,Total,
Agricultural and Life Sciences,Agricultural & Applied Economics BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/agricultural-applied-economics/agricultural-applied-economics-bs/
Agricultural and Life Sciences,Agricultural Business Management BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/agricultural-applied-economics/agricultural-business-management-bs/
Agricultural and Life Sciences,Agronomy BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/agronomy/agronomy-bs/
Agricultural and Life Sciences,Animal & Veterinary Biosciences BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/animal-dairy-sciences/animal-veterinary-biosciences-bs/
Agricultural and Life Sciences,Animal Sciences BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/animal-dairy-sciences/animal-sciences-bs/
Agricultural and Life Sciences,Biochemistry BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/biochemistry/biochemistry-bs/
Agricultural and Life Sciences,Biological Systems Engineering BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/biological-systems-engineering/biological-systems-engineering-bs/
Agricultural and Life Sciences,Biology BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/bacteriology/biology-bs/
Agricultural and Life Sciences,Community & Environmental Sociology BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/community-environmental-sociology/community-environmental-sociology-bs/
Agricultural and Life Sciences,Dairy Science BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/animal-dairy-sciences/dairy-science-bs/
Agricultural and Life Sciences,Entomology BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/entomology/entomology-bs/
Agricultural and Life Sciences,Environmental Sciences BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/soil-science/environmental-sciences-bs/
Agricultural and Life Sciences,Food Science BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/food-science/food-science-bs/
Agricultural and Life Sciences,Forest Science BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/forest-wildlife-ecology/forest-science-bs/
Agricultural and Life Sciences,Genetics & Genomics BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/genetics/genetics-genomics-bs/
Agricultural and Life Sciences,Global Health BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/entomology/global-health-bs/
Agricultural and Life Sciences,Horticulture BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/horticulture/horticulture-bs/
Agricultural and Life Sciences,Intended: Biological Systems Engineering,
Agricultural and Life Sciences,Intended: Nutritional Sciences BSD,
Agricultural and Life Sciences,Life Sciences Communication BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/life-sciences-communication/life-sciences-communication-bs/
Agricultural and Life Sciences,Microbiology BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/bacteriology/microbiology-bs/
Agricultural and Life Sciences,No Major Code ALS,
Agricultural and Life Sciences,Nutritional Sciences BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/nutritional-sciences/nutritional-sciences-bs/
Agricultural and Life Sciences,Nutritional Sciences BSDN,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/nutritional-sciences/nutritional-sciences-bs-nutrition-dietetics/
Agricultural and Life Sciences,Plant Pathology BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/plant-pathology/plant-pathology-bs/
Agricultural and Life Sciences,Soil Science BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/soil-science/soil-science-bs/
Agricultural and Life Sciences,Wildlife Ecology BS,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/forest-wildlife-ecology/wildlife-ecology-bs/
Business,Bus: Accounting BBA,https://guide.wisc.edu/undergraduate/business/accounting-information-systems/business-accounting-bba/index.html
Business,Bus: Actuarial Science BBA,https://guide.wisc.edu/undergraduate/business/risk-insurance/business-actuarial-science-bba/index.html
Business,"Bus: Finance, Investment & Banking BBA",https://guide.wisc.edu/undergraduate/business/finance/business-finance-investment-banking-bba/index.html
Business,Bus: Information Systems BBA,https://guide.wisc.edu/undergraduate/business/operations-information-management/business-information-systems-bba/index.html
Business,Bus: International Business BBA,https://guide.wisc.edu/undergraduate/business/international-business/business-international-business-bba/index.html
Business,Bus: Management & Human Resources BBA,https://guide.wisc.edu/undergraduate/business/management-human-resources/business-management-human-resources-bba/index.html
Business,Bus: Marketing BBA,https://guide.wisc.edu/undergraduate/business/marketing/business-marketing-bba/index.html
Business,Bus: Operations & Technology Management BBA,https://guide.wisc.edu/undergraduate/business/operations-information-management/business-operations-technology-management-bba/index.html
Business,Bus: Real Estate & Urban Land Economics BBA,https://guide.wisc.edu/undergraduate/business/real-estate-urban-land-economics/business-real-estate-urban-land-economics-bba/index.html
Business,Bus: Risk Management & Insurance BBA,https://guide.wisc.edu/undergraduate/business/risk-insurance/business-risk-management-insurance-bba/index.html
Business,Bus: Supply Chain Management BBA,https://guide.wisc.edu/undergraduate/business/operations-information-management/business-supply-chain-management-bba/index.html
Business,Business Administration-Human Resources BBA,https://guide.wisc.edu/undergraduate/business/management-human-resources/business-administration-human-resources-bba/index.html
Business,Business Administration-Management BBA,https://guide.wisc.edu/undergraduate/business/management-human-resources/business-administration-management-bba/index.html
Business,Business Administration-Marketing BBA,https://guide.wisc.edu/undergraduate/business/marketing/business-administration-marketing-bba/index.html
Business,No Major Code BUS,
Education,Art BFA,https://guide.wisc.edu/undergraduate/education/art/art-bfa/index.html
Education,Art BS,https://guide.wisc.edu/undergraduate/education/art/art-bs/index.html
Education,Art Education BSE,https://guide.wisc.edu/undergraduate/education/art/art-education-bs/index.html
