Program Name,Program Award Type,Tuition Structure Used,Number of Credits,TERM (Academic Plans/Subplans) (copy),WI Resident,MN Reciprocity,Non-resident,Non-resident (International specific)
African American Studies,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
African Cultural Studies,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Agricultural and Applied Economics,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Agricultural Business Management,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Agronomy,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Animal and Veterinary Biosciences,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Animal Sciences,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Anthropology,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
"Applied Mathematics, Engineering and Physics",Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Art,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Art Education,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Art History,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Asian Languages and Cultures,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Astronomy - Physics,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Atmospheric and Oceanic Sciences,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Biochemistry,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Biological Systems Engineering,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Biology,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Biomedical Engineering,Bachelor's,Undergraduate Engineering,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Botany,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Business: Accounting,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Actuarial Science,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
"Business: Finance, Investment and Banking",Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Information Systems,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Management and Human Resources,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Marketing,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Operations and Technology Management,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Real Estate and Urban Land Economics,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Risk Management and Insurance,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Business: Supply Chain Management,Bachelor's,Undergraduate Business,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Cartography and Geographic Information Systems,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Chemical Engineering,Bachelor's,Undergraduate Engineering,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Chemistry,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Chicana/o and Latina/o Studies,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Chinese,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Civil Engineering,Bachelor's,Undergraduate Engineering,12-18,Fall/Spring 2023-24,"$5,822.16","$8,547.84","$20,520.72","$21,020.76"
Classical Humanities,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Classics,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Communication Arts,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
Communication Sciences and Disorders,Bachelor's,Undergraduate and Special Students,12-18,Fall/Spring 2023-24,"$4,822.20","$7,248.00","$19,520.76","$20,020.80"
